"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72502014734","2020-01-01T07:00:00","FM-12","4",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","37",,,"-0.03","1","62","29.72","26","29.69","9.94","33","270",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08672502 12566 82709 10028 21039 30055 40063 51009 69901 91151 333 10078 20022 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T07:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.73","24","37","0.00",,,,"59","29.72","FEW:02 30 OVC:08 65","29.70","10.00","32","250",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09701/01/20 07:51:02 METAR KEWR 011251Z 25010KT 10SM FEW030 OVC065 03/M04 A2973 RMK SLP066 T00281044","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T08:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.75","22","38","0.00",,,,"52","29.75","FEW:02 28 SCT:04 45 OVC:08 60","29.72","10.00","32","260","22","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11601/01/20 08:51:02 METAR KEWR 011351Z 26013G19KT 10SM FEW028 SCT045 OVC060 03/M06 A2975 RMK VIRGA NW SLP075 T00331056","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T09:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.77","20","39","0.00",,"-0.06","3","46","29.77","FEW:02 30 FEW:02 45 BKN:07 65","29.74","10.00","32","260",,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11001/01/20 09:51:02 METAR KEWR 011451Z 26015KT 10SM FEW030 FEW045 BKN065 04/M07 A2977 RMK SLP081 T00391067 53019","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T10:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.77","20","40","0.00",,,,"45","29.77","SCT:04 40 BKN:07 65","29.74","10.00","33","290","25","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10001/01/20 10:51:02 METAR KEWR 011551Z 29017G22KT 10SM SCT040 BKN065 04/M07 A2977 RMK SLP081 T00441067","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T11:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.76","19","40","0.00",,,,"43","29.75","FEW:02 45 BKN:07 55","29.73","10.00","33","270","30","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11801/01/20 11:51:02 METAR KEWR 011651Z 27016G26KT 10SM FEW045 BKN055 04/M07 A2976 RMK PK WND 26027/1556 SLP076 T00441072","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T12:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.75","18","40","0.00",,"+0.03","8","41","29.74","FEW:02 45 BKN:07 55","29.72","10.00","32","280","29","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET15101/01/20 12:51:02 METAR KEWR 011751Z 28019G25KT 10SM FEW045 BKN055 04/M08 A2975 RMK PK WND 27026/1732 VIRGA SE AND W SLP072 T00441078 10050 20028 58010","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T13:00:00","FM-12","4",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","40",,,"+0.03","8","41","29.74","41","29.72","9.94","32","280",,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08672502 32666 62819 10044 21078 30066 40072 58010 91751 333 10050 20028 91025 555 90118=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T13:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.75","18","39","0.00",,,,"43","29.75","FEW:02 42 OVC:08 50","29.72","10.00","32","270","26","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11801/01/20 13:51:02 METAR KEWR 011851Z 27017G23KT 10SM FEW042 OVC050 04/M08 A2975 RMK PK WND 29028/1810 SLP074 T00391078","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
"72502014734","2020-01-01T14:51:00","FM-15","7",,"SSE","0.75","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,"29.78","18","39","0.00",,,,"43","29.77","FEW:02 43 OVC:08 50","29.75","10.00","32","270","28","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11801/01/20 14:51:02 METAR KEWR 011951Z 27018G24KT 10SM FEW043 OVC050 04/M08 A2978 RMK PK WND 26027/1903 SLP082 T00391078","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-07-08"
